TesterName,StreamName,TestType,MatchFiles,MisMatchFiles,TotalFiles,TotalCDRCompared,FileResult,CDRResult,TimeTaken,Date,ReportFileName
ROHAN,HDP_MSC,DIFF_Summary,498,0,498,1989098,PASS ,FAIL,264.25,30-01-2023 07:41PM,ROHAN_HDP_MSC_DIFF_Summary_2023_01_30-07_36_54_PM.txt
ROHAN,HDP_MSC,DIFF_Detailed, 498,0,498,1989098,PASS,FAIL,284.63,30-01-2023 08:08PM,ROHAN_HDP_MSC_DIFF_Detailed_2023_01_30-08_03_48_PM.txt
MANGESH,TANLA_SMSC_ICB,DIFF_Summary, 10,0,10,167375,PASS,PASS,16.50,01-02-2023 04:32PM,MANGESH_TANLA_SMSC_ICB_DIFF_Summary_2023_02_01-04_31_58_PM.txt
RAJU,BSMT_SMSC_ASCII,DIFF_Summary, 10,0,10,61680,PASS,PASS,5.83,01-02-2023 04:37PM,RAJU_BSMT_SMSC_ASCII_DIFF_Summary_2023_02_01-04_37_15_PM.txt
RAJU,BSMT_SMSC_ASCII,ZIP_Detailed,10,0,10,61680,PASS,n/a,0.08,01-02-2023 04:38PM,RAJU_BSMT_SMSC_ASCII_ZIP_Detailed_2023_02_01-04_38_06_PM.txt
RAJU,BSMT_SMSC_ICB,ZIP_Detailed,40,0,40,24512,PASS,n/a,0.03,01-02-2023 04:38PM,RAJU_BSMT_SMSC_ICB_ZIP_Detailed_2023_02_01-04_38_47_PM.txt
RAJU,BSMT_SMSC_ICB,DIFF_Summary, 40,0,40,24512,PASS,PASS,2.48,01-02-2023 04:39PM,RAJU_BSMT_SMSC_ICB_DIFF_Summary_2023_02_01-04_39_24_PM.txt
MANGESH,TANLA_SMSC_ASCII,DIFF_Summary, 10,0,10,431040,PASS,PASS,39.58,01-02-2023 04:43PM,MANGESH_TANLA_SMSC_ASCII_DIFF_Summary_2023_02_01-04_42_24_PM.txt
RAJU,Nokia_TAS_Legal,DIFF_Summary, 10,1,11,45670,FAIL,PASS,5.09,01-02-2023 05:34PM,RAJU_Nokia_TAS_Legal_DIFF_Summary_2023_02_01-05_34_12_PM.txt
RAJU,Nokia_TAS_Legal,ZIP_Detailed,10,1,11,45670,FAIL,n/a,0.05,01-02-2023 05:35PM,RAJU_Nokia_TAS_Legal_ZIP_Detailed_2023_02_01-05_35_34_PM.txt
RAJU,Nokia_TAS_FMS,ZIP_Detailed,10,1,11,2339,FAIL,n/a,0.03,01-02-2023 05:36PM,RAJU_Nokia_TAS_FMS_ZIP_Detailed_2023_02_01-05_36_25_PM.txt
RAJU,Nokia_TAS_FMS,DIFF_Summary, 10,1,11,2339,FAIL,PASS,0.23,01-02-2023 05:37PM,RAJU_Nokia_TAS_FMS_DIFF_Summary_2023_02_01-05_37_07_PM.txt
RAJU,Nokia_TAS_DOX,DIFF_Summary, 10,1,11,4014,FAIL,PASS,0.62,01-02-2023 05:37PM,RAJU_Nokia_TAS_DOX_DIFF_Summary_2023_02_01-05_37_51_PM.txt
RAJU,Nokia_TAS_DOX,ZIP_Detailed,10,1,11,4014,FAIL,n/a,0.02,01-02-2023 05:38PM,RAJU_Nokia_TAS_DOX_ZIP_Detailed_2023_02_01-05_38_22_PM.txt
RAJU,Nokia_TAS_ICB,ZIP_Detailed,10,1,11,7925,FAIL,n/a,0.04,01-02-2023 05:38PM,RAJU_Nokia_TAS_ICB_ZIP_Detailed_2023_02_01-05_38_57_PM.txt
RAJU,Nokia_TAS_ICB,DIFF_Summary, 10,1,11,7925,FAIL,PASS,0.63,01-02-2023 05:39PM,RAJU_Nokia_TAS_ICB_DIFF_Summary_2023_02_01-05_39_31_PM.txt
RAJU,Nokia_TAS_ICB_SMS,DIFF_Summary, 5,1,6,9562,FAIL,PASS,0.94,01-02-2023 05:40PM,RAJU_Nokia_TAS_ICB_SMS_DIFF_Summary_2023_02_01-05_40_18_PM.txt
RAJU,Nokia_TAS_ICB_SMS,ZIP_Detailed,5,1,6,9562,FAIL,n/a,0.02,01-02-2023 05:40PM,RAJU_Nokia_TAS_ICB_SMS_ZIP_Detailed_2023_02_01-05_40_52_PM.txt
RAJU,MAVENIR_IPSM_DOX,ZIP_Detailed,10,0,10,3196,PASS,n/a,0.04,01-02-2023 05:44PM,RAJU_MAVENIR_IPSM_DOX_ZIP_Detailed_2023_02_01-05_44_33_PM.txt
RAJU,MAVENIR_IPSM_DOX,DIFF_Summary, 10,0,10,3196,PASS,PASS,0.33,01-02-2023 05:45PM,RAJU_MAVENIR_IPSM_DOX_DIFF_Summary_2023_02_01-05_45_05_PM.txt
RAJU,MAVENIR_IPSM_FMS,ZIP_Detailed,10,0,10,1587,PASS,n/a,0.02,01-02-2023 05:46PM,RAJU_MAVENIR_IPSM_FMS_ZIP_Detailed_2023_02_01-05_46_06_PM.txt
RAJU,MAVENIR_IPSM_FMS,DIFF_Summary, 10,0,10,1587,PASS,PASS,0.09,01-02-2023 05:46PM,RAJU_MAVENIR_IPSM_FMS_DIFF_Summary_2023_02_01-05_46_33_PM.txt
RAJU,MAVENIR_IPSM_HDBI,ZIP_Detailed,10,0,10,23097,PASS,n/a,0.08,01-02-2023 05:47PM,RAJU_MAVENIR_IPSM_HDBI_ZIP_Detailed_2023_02_01-05_47_24_PM.txt
RAJU,MAVENIR_IPSM_HDBI,DIFF_Summary, 10,0,10,23097,PASS,PASS,3.30,01-02-2023 05:47PM,RAJU_MAVENIR_IPSM_HDBI_DIFF_Summary_2023_02_01-05_47_52_PM.txt
JAYRAM,HDP_MSC,DIFF_Detailed,498,0,498,1989098,PASS,FAIL,276.43,01-02-2023 06:32PM,JAYRAM_HDP_MSC_DIFF_Detailed_2023_02_01-06_28_04_PM.txt
SHAKTI,Nokia_TAS_DOX,DIFF_Summary,10,1,11,4014,FAIL,PASS,0.52,01-02-2023 06:45PM,SHAKTI_Nokia_TAS_DOX_DIFF_Summary_2023_02_01-06_45_40_PM.txt
SHAKTI,Nokia_TAS_DOX,DIFF_Summary,10,0,10,4014,PASS,PASS,0.54,01-02-2023 06:49PM,SHAKTI_Nokia_TAS_DOX_DIFF_Summary_2023_02_01-06_49_22_PM.txt
SHAKTI,Nokia_TAS_DOX_SMS,DIFF_Summary,5,0,5,220,PASS,PASS,0.05,01-02-2023 06:53PM,SHAKTI_Nokia_TAS_DOX_SMS_DIFF_Summary_2023_02_01-06_53_27_PM.txt
SHAKTI,Nokia_TAS_FMS,DIFF_Summary,10,0,10,2339,PASS,PASS,0.24,01-02-2023 06:54PM,SHAKTI_Nokia_TAS_FMS_DIFF_Summary_2023_02_01-06_54_14_PM.txt
SHAKTI,Nokia_TAS_FMS_SMS,DIFF_Summary,5,0,5,82,PASS,PASS,0.02,01-02-2023 06:54PM,SHAKTI_Nokia_TAS_FMS_SMS_DIFF_Summary_2023_02_01-06_54_59_PM.txt
SHAKTI,Nokia_TAS_HDP,DIFF_Summary,10,0,10,47471,PASS,PASS,6.11,01-02-2023 06:56PM,SHAKTI_Nokia_TAS_HDP_DIFF_Summary_2023_02_01-06_56_37_PM.txt
SHAKTI,Nokia_TAS_Legal,DIFF_Summary,10,0,10,45670,PASS,PASS,5.36,01-02-2023 06:57PM,SHAKTI_Nokia_TAS_Legal_DIFF_Summary_2023_02_01-06_57_35_PM.txt
SHAKTI,Nokia_TAS_Legal_SMS,DIFF_Summary,5,0,5,1791,PASS,PASS,0.18,01-02-2023 06:58PM,SHAKTI_Nokia_TAS_Legal_SMS_DIFF_Summary_2023_02_01-06_58_06_PM.txt
SHAKTI,Nokia_TAS_ICB,DIFF_Summary,10,0,10,7925,PASS,PASS,0.59,01-02-2023 06:59PM,SHAKTI_Nokia_TAS_ICB_DIFF_Summary_2023_02_01-06_59_07_PM.txt
SHAKTI,Nokia_TAS_ICB_SMS,DIFF_Summary,5,0,5,9562,PASS,PASS,0.91,01-02-2023 06:59PM,SHAKTI_Nokia_TAS_ICB_SMS_DIFF_Summary_2023_02_01-06_59_54_PM.txt
SHAKTI,Nokia_TAS_DOX,DIFF_Summary,10,1,11,3196,FAIL,PASS,0.35,01-02-2023 07:31PM,SHAKTI_Nokia_TAS_DOX_DIFF_Summary_2023_02_01-07_31_48_PM.txt
SHAKTI,Nokia_TAS_DOX,DIFF_Summary,10,0,10,3196,PASS,PASS,0.38,01-02-2023 07:33PM,SHAKTI_Nokia_TAS_DOX_DIFF_Summary_2023_02_01-07_33_59_PM.txt
SHAKTI,Nokia_TAS_FMS,DIFF_Summary,10,0,10,1587,PASS,PASS,0.17,01-02-2023 07:34PM,SHAKTI_Nokia_TAS_FMS_DIFF_Summary_2023_02_01-07_34_46_PM.txt
SHAKTI,Nokia_TAS_HDP,DIFF_Summary,10,0,10,23087,PASS,PASS,3.31,01-02-2023 07:35PM,SHAKTI_Nokia_TAS_HDP_DIFF_Summary_2023_02_01-07_35_30_PM.txt
SHAKTI,Nokia_TAS_Legal,DIFF_Summary,10,0,10,23077,PASS,PASS,2.55,01-02-2023 07:37PM,SHAKTI_Nokia_TAS_Legal_DIFF_Summary_2023_02_01-07_37_06_PM.txt
SHAKTI,Nokia_TAS_ICB,DIFF_Summary,10,0,10,7318,PASS,PASS,0.69,01-02-2023 07:37PM,SHAKTI_Nokia_TAS_ICB_DIFF_Summary_2023_02_01-07_37_51_PM.txt
SHAKTI,Nokia_TAS_DOX,DIFF_Summary,5148,0,5148,3604618,PASS,PASS,427.08,01-02-2023 08:08PM,SHAKTI_Nokia_TAS_DOX_DIFF_Summary_2023_02_01-08_01_37_PM.txt
SHAKTI,Nokia_TAS_FMS,DIFF_Summary,5148,0,5148,2777665,PASS,PASS,303.20,01-02-2023 08:19PM,SHAKTI_Nokia_TAS_FMS_DIFF_Summary_2023_02_01-08_14_14_PM.txt
