TesterName,StreamName,TestType,MatchFiles,MisMatchFiles,TotalFiles,TotalCDRCompared,FileResult,CDRResult,TimeTaken,Date,ReportFileName
RAJU,HDP_MSC,ZIP_Summary,498,0,498,1989098,PASS,n/a,3.05,09-01-2024 06:28PM,RAJU_HDP_MSC_ZIP_Summary_2024_01_09-06_28_30_PM.txt
RAJU,HDP_MSC,ZIP_Summary,498,0,498,1989098,PASS,n/a,2.68,11-01-2024 10:42AM,RAJU_HDP_MSC_ZIP_Summary_2024_01_11-10_42_29_AM.txt
RAJU,ZTE_GGSN_DOX_AGG,ZIP_Summary,10,0,10,138980,PASS,n/a,0.17,11-01-2024 10:56AM,RAJU_ZTE_GGSN_DOX_AGG_ZIP_Summary_2024_01_11-10_56_30_AM.txt
RAJU,ZTE_GGSN_DOX_AGG,ZIP_Detailed,10,0,10,138980,PASS,n/a,0.19,11-01-2024 11:14AM,RAJU_ZTE_GGSN_DOX_AGG_ZIP_Detailed_2024_01_11-11_14_39_AM.txt
RAJU,ZTE_GGSN_DOX_AGG,DIFF_Summary,10,0,10,138980,PASS,PASS,16.24,11-01-2024 11:17AM,RAJU_ZTE_GGSN_DOX_AGG_DIFF_Summary_2024_01_11-11_17_08_AM.txt
RAJU,ZTE_GGSN_DOX_AGG,DIFF_Detailed,10,0,10,138980,PASS,PASS,16.88,11-01-2024 11:18AM,RAJU_ZTE_GGSN_DOX_AGG_DIFF_Detailed_2024_01_11-11_18_20_AM.txt
RAJU,VAS_SDP_FMS,ZIP_Summary,3705,0,3705,45458,PASS,n/a,4.45,11-01-2024 02:23PM,RAJU_VAS_SDP_FMS_ZIP_Summary_2024_01_11-02_23_28_PM.txt
RAJU,VAS_SDP_FMS,DIFF_Summary,3705,0,3705,45458,PASS,PASS,11.68,11-01-2024 02:24PM,RAJU_VAS_SDP_FMS_DIFF_Summary_2024_01_11-02_24_00_PM.txt
RAJU,VAS_SDP_DOX,ZIP_Summary,5460,0,5460,71143,PASS,n/a,3.67,11-01-2024 02:25PM,RAJU_VAS_SDP_DOX_ZIP_Summary_2024_01_11-02_25_08_PM.txt
RAJU,VAS_SDP_DOX,DIFF_Summary,5460,0,5460,71143,PASS,PASS,15.69,11-01-2024 02:26PM,RAJU_VAS_SDP_DOX_DIFF_Summary_2024_01_11-02_25_56_PM.txt
RAJU,VAS_SDP_ICB,ZIP_Summary,220,0,220,699390,PASS,n/a,1.49,11-01-2024 02:26PM,RAJU_VAS_SDP_ICB_ZIP_Summary_2024_01_11-02_26_56_PM.txt
RAJU,VAS_SDP_ICB,DIFF_Summary,220,0,220,699390,PASS,FAIL,86.57,11-01-2024 02:29PM,RAJU_VAS_SDP_ICB_DIFF_Summary_2024_01_11-02_27_38_PM.txt
MANGESH,TELEDNA_SMSC_ICB,ZIP_Summary,1186,0,1186,298497,PASS,n/a,1.14,11-01-2024 02:38PM,MANGESH_TELEDNA_SMSC_ICB_ZIP_Summary_2024_01_11-02_38_16_PM.txt
MANGESH,TELEDNA_SMSC_ICB,DIFF_Summary,1186,0,1186,298497,PASS,PASS,351.84,11-01-2024 02:45PM,MANGESH_TELEDNA_SMSC_ICB_DIFF_Summary_2024_01_11-02_39_30_PM.txt
RAJU,HUA_NLD_ILD_VIG,ZIP_Summary,172,0,172,399316,PASS,n/a,1.00,11-01-2024 04:47PM,RAJU_HUA_NLD_ILD_VIG_ZIP_Summary_2024_01_11-04_47_54_PM.txt
MANGESH,TELEDNA_SMSC_HDP,ZIP_Summary,0,0,0,0,FAIL,n/a,16.40,11-01-2024 04:50PM,MANGESH_TELEDNA_SMSC_HDP_ZIP_Summary_2024_01_11-04_50_01_PM.txt
RAJU,HUA_NLD_ILD_ICB,ZIP_Summary,3529,9,3538,31151994,FAIL,n/a,35.93,11-01-2024 04:52PM,RAJU_HUA_NLD_ILD_ICB_ZIP_Summary_2024_01_11-04_52_09_PM.txt
RAJU,HUA_NLD_ILD_ICB,ZIP_Detailed,3529,9,3538,31151994,FAIL,n/a,24.04,11-01-2024 04:54PM,RAJU_HUA_NLD_ILD_ICB_ZIP_Detailed_2024_01_11-04_54_26_PM.txt
RAJU,HUA_NLD_ILD_BI,ZIP_Detailed,0,0,0,0,FAIL,n/a,0.68,11-01-2024 04:56PM,RAJU_HUA_NLD_ILD_BI_ZIP_Detailed_2024_01_11-04_56_24_PM.txt
RAJU,HUA_NLD_ILD_VIG,DIFF_Detailed,172,0,172,399316,PASS,FAIL,37.52,11-01-2024 05:17PM,RAJU_HUA_NLD_ILD_VIG_DIFF_Detailed_2024_01_11-05_16_59_PM.txt
RAJU,HUA_NLD_ILD_VIG,DIFF_Summary,172,0,172,399316,PASS,FAIL,37.89,11-01-2024 05:22PM,RAJU_HUA_NLD_ILD_VIG_DIFF_Summary_2024_01_11-05_22_11_PM.txt
RAJU,HUA_NLD_ILD_VIG,DIFF_Summary,172,0,172,399316,PASS,FAIL,35.85,11-01-2024 05:24PM,RAJU_HUA_NLD_ILD_VIG_DIFF_Summary_2024_01_11-05_23_39_PM.txt
RAJU,HUA_NLD_ILD_ICB,ZIP_Summary,3529,0,3529,31151994,PASS,n/a,24.26,11-01-2024 05:37PM,RAJU_HUA_NLD_ILD_ICB_ZIP_Summary_2024_01_11-05_36_41_PM.txt
RAJU,HUA_NLD_ILD_BI,ZIP_Summary,1,0,1,858016,PASS,n/a,0.60,11-01-2024 05:53PM,RAJU_HUA_NLD_ILD_BI_ZIP_Summary_2024_01_11-05_53_38_PM.txt
RAJU,HUA_NLD_ILD_BI,DIFF_Summary,1,0,1,858016,PASS,FAIL,73.79,11-01-2024 05:55PM,RAJU_HUA_NLD_ILD_BI_DIFF_Summary_2024_01_11-05_54_16_PM.txt
RAJU,HUA_NLD_ILD_BI,ZIP_Detailed,1,0,1,858016,PASS,n/a,0.67,11-01-2024 05:58PM,RAJU_HUA_NLD_ILD_BI_ZIP_Detailed_2024_01_11-05_58_47_PM.txt
RAJU,HUA_NLD_ILD_BI,DIFF_Detailed,1,0,1,858016,PASS,FAIL,77.48,11-01-2024 06:00PM,RAJU_HUA_NLD_ILD_BI_DIFF_Detailed_2024_01_11-05_59_29_PM.txt
MANGESH,TELEDNA_SMSC_HDP,ZIP_Summary,1,0,1,41065108,PASS,n/a,16.22,11-01-2024 06:40PM,MANGESH_TELEDNA_SMSC_HDP_ZIP_Summary_2024_01_11-06_40_34_PM.txt
RAJU,HUA_NLD_ILD_ICB,DIFF_Summary,3529,0,3529,31151994,PASS,FAIL,3913.75,11-01-2024 06:42PM,RAJU_HUA_NLD_ILD_ICB_DIFF_Summary_2024_01_11-05_37_42_PM.txt
MANGESH,TAPIN_VIG,ZIP_Summary,1,0,1,173332,PASS,n/a,0.10,11-01-2024 07:14PM,MANGESH_TAPIN_VIG_ZIP_Summary_2024_01_11-07_14_29_PM.txt
