TesterName,StreamName,TestType,MatchFiles,MisMatchFiles,TotalFiles,TotalCDRCompared,FileResult,CDRResult,TimeTaken,Date,ReportFileName
MANGESH,HYBRID_ICR_DOX_SMS,DIFF_Summary,8667,0,8667,492899,PASS,PASS,75.22,09-03-2023 02:40PM,MANGESH_HYBRID_ICR_DOX_SMS_DIFF_Summary_2023_03_09-02_39_28_PM.txt
MANGESH,HYBRID_ICR_DOX_SMS,DIFF_Summary,8666,0,8666,125839,PASS,PASS,24.63,09-03-2023 02:42PM,MANGESH_HYBRID_ICR_DOX_SMS_DIFF_Summary_2023_03_09-02_42_19_PM.txt
MANGESH,HYBRID_ICR_FCR,DIFF_Summary,343,0,343,350,PASS,PASS,0.28,09-03-2023 02:46PM,MANGESH_HYBRID_ICR_FCR_DIFF_Summary_2023_03_09-02_46_49_PM.txt
MANGESH,HYBRID_ICR_FCR,DIFF_Summary,227,0,227,233,PASS,PASS,0.2,09-03-2023 02:47PM,MANGESH_HYBRID_ICR_FCR_DIFF_Summary_2023_03_09-02_47_57_PM.txt
MANGESH,HYBRID_ICR_FMS,DIFF_Summary,8668,0,8668,1069435,PASS,PASS,116.48,09-03-2023 03:19PM,MANGESH_HYBRID_ICR_FMS_DIFF_Summary_2023_03_09-03_17_20_PM.txt
MANGESH,HYBRID_ICR_FMS,DIFF_Summary,8668,0,8668,928270,PASS,PASS,100.41,09-03-2023 03:22PM,MANGESH_HYBRID_ICR_FMS_DIFF_Summary_2023_03_09-03_20_30_PM.txt
RAJU,NOKIA_MSC_ORPHEUS,DIFF_Summary,10,0,10,9714,PASS,PASS,1,09-03-2023 03:34PM,RAJU_NOKIA_MSC_ORPHEUS_DIFF_Summary_2023_03_09-03_34_52_PM.txt
MANGESH,HYBRID_ICR_OUT,DIFF_Summary,34672,0,34672,69344,PASS,PASS,34.5,09-03-2023 03:35PM,MANGESH_HYBRID_ICR_OUT_DIFF_Summary_2023_03_09-03_34_57_PM.txt
RAJU,NOKIA_MSC_ORPHEUS,ZIP_Detailed,10,0,10,9714,PASS,n/a,0.03,09-03-2023 03:35PM,RAJU_NOKIA_MSC_ORPHEUS_ZIP_Detailed_2023_03_09-03_35_39_PM.txt
MANGESH,HYBRID_ICR_NRTDE,DIFF_Summary,4894,0,4894,9250,PASS,PASS,5.06,09-03-2023 03:36PM,MANGESH_HYBRID_ICR_NRTDE_DIFF_Summary_2023_03_09-03_36_37_PM.txt
RAJU,NOKIA_MSC_ICR,ZIP_Detailed,10,0,10,20,PASS,n/a,0.02,09-03-2023 03:38PM,RAJU_NOKIA_MSC_ICR_ZIP_Detailed_2023_03_09-03_38_29_PM.txt
MANGESH,HYBRID_ICR_FMS_SMS,DIFF_Summary,8665,0,8665,418282,PASS,PASS,48.93,09-03-2023 03:38PM,MANGESH_HYBRID_ICR_FMS_SMS_DIFF_Summary_2023_03_09-03_38_06_PM.txt
RAJU,NOKIA_MSC_ICR,DIFF_Summary,10,0,10,20,PASS,PASS,0.02,09-03-2023 03:39PM,RAJU_NOKIA_MSC_ICR_DIFF_Summary_2023_03_09-03_39_19_PM.txt
RAJU,NOKIA_MSC_FMSC_VOICE,DIFF_Summary,10,0,10,117,PASS,PASS,0.03,09-03-2023 03:40PM,RAJU_NOKIA_MSC_FMSC_VOICE_DIFF_Summary_2023_03_09-03_40_51_PM.txt
RAJU,NOKIA_MSC_FMSC_VOICE,ZIP_Detailed,10,0,10,117,PASS,n/a,0.02,09-03-2023 03:41PM,RAJU_NOKIA_MSC_FMSC_VOICE_ZIP_Detailed_2023_03_09-03_41_16_PM.txt
RAJU,NOKIA_MSC_ICB_VOICE,ZIP_Detailed,10,0,10,3227,PASS,n/a,0.02,09-03-2023 03:42PM,RAJU_NOKIA_MSC_ICB_VOICE_ZIP_Detailed_2023_03_09-03_42_35_PM.txt
RAJU,NOKIA_MSC_ICB_VOICE,DIFF_Summary,10,0,10,3227,PASS,PASS,0.33,09-03-2023 03:43PM,RAJU_NOKIA_MSC_ICB_VOICE_DIFF_Summary_2023_03_09-03_43_00_PM.txt
RAJU,NOKIA_MSC_SEC_SMS,DIFF_Summary,10,0,10,3557,PASS,PASS,0.36,09-03-2023 03:46PM,RAJU_NOKIA_MSC_SEC_SMS_DIFF_Summary_2023_03_09-03_46_10_PM.txt
RAJU,NOKIA_MSC_SEC_SMS,ZIP_Detailed,10,0,10,3557,PASS,n/a,0.02,09-03-2023 03:46PM,RAJU_NOKIA_MSC_SEC_SMS_ZIP_Detailed_2023_03_09-03_46_37_PM.txt
RAJU,NOKIA_MSC_SEC_VOICE,ZIP_Detailed,10,0,10,57918,PASS,n/a,0.06,09-03-2023 03:47PM,RAJU_NOKIA_MSC_SEC_VOICE_ZIP_Detailed_2023_03_09-03_47_53_PM.txt
RAJU,NOKIA_MSC_SEC_VOICE,DIFF_Summary,10,0,10,57918,PASS,PASS,6.21,09-03-2023 03:48PM,RAJU_NOKIA_MSC_SEC_VOICE_DIFF_Summary_2023_03_09-03_48_22_PM.txt
RAJU,NOKIA_MSC_NRTDE,DIFF_Summary,2,0,2,4,PASS,PASS,0.02,09-03-2023 03:49PM,RAJU_NOKIA_MSC_NRTDE_DIFF_Summary_2023_03_09-03_49_37_PM.txt
MANGESH,HYBRID_ICR_ORPHEOUS,DIFF_Summary,8668,0,8668,5921584,PASS,PASS,811.1,09-03-2023 03:55PM,MANGESH_HYBRID_ICR_ORPHEOUS_DIFF_Summary_2023_03_09-03_42_24_PM.txt
RAJU,NOKIA_MSC_ICB_SMS,ZIP_Detailed,10,0,10,6640,PASS,n/a,0.03,09-03-2023 03:55PM,RAJU_NOKIA_MSC_ICB_SMS_ZIP_Detailed_2023_03_09-03_55_57_PM.txt
RAJU,NOKIA_MSC_ICB_SMS,DIFF_Summary,10,0,10,6640,PASS,PASS,0.68,09-03-2023 03:56PM,RAJU_NOKIA_MSC_ICB_SMS_DIFF_Summary_2023_03_09-03_56_23_PM.txt
RAJU,NOKIA_MSC_NRTDE,ZIP_Detailed,2,0,2,4,PASS,n/a,0.02,09-03-2023 03:57PM,RAJU_NOKIA_MSC_NRTDE_ZIP_Detailed_2023_03_09-03_57_10_PM.txt
MANGESH,HYBRID_ICR_SF,DIFF_Summary,8668,0,8668,15872193,PASS,PASS,2561.66,09-03-2023 04:53PM,MANGESH_HYBRID_ICR_SF_DIFF_Summary_2023_03_09-04_11_14_PM.txt
MANGESH,HYBRID_ICR_SF_SMS,DIFF_Summary,8668,0,8668,623727,PASS,PASS,71.23,09-03-2023 04:57PM,MANGESH_HYBRID_ICR_SF_SMS_DIFF_Summary_2023_03_09-04_56_10_PM.txt
MANGESH,HYBRID_ICR_SF_SMS,DIFF_Summary,8666,0,8666,125839,PASS,PASS,20.37,09-03-2023 05:01PM,MANGESH_HYBRID_ICR_SF_SMS_DIFF_Summary_2023_03_09-05_01_38_PM.txt
MANGESH,HYBRID_ICR_FMS_SMS,DIFF_Summary,8666,0,8666,125839,PASS,PASS,19.7,09-03-2023 05:03PM,MANGESH_HYBRID_ICR_FMS_SMS_DIFF_Summary_2023_03_09-05_03_21_PM.txt
MANGESH,HYBRID_ICR_ORPHEOUS,DIFF_Summary,8668,0,8668,1807776,PASS,PASS,192.61,09-03-2023 05:07PM,MANGESH_HYBRID_ICR_ORPHEOUS_DIFF_Summary_2023_03_09-05_04_32_PM.txt
MANGESH,HYBRID_ICR_SF,DIFF_Summary,8668,0,8668,4711927,PASS,PASS,768.98,09-03-2023 05:21PM,MANGESH_HYBRID_ICR_SF_DIFF_Summary_2023_03_09-05_09_10_PM.txt
SHUBHAM,LRN_ENRICHMENT_ERMS_VOICE_ICB,ZIP_Detailed,5,0,5,18929,PASS,n/a,0.03,10-03-2023 12:54PM,SHUBHAM_LRN_ENRICHMENT_ERMS_VOICE_ICB_ZIP_Detailed_2023_03_10-12_54_09_PM.txt
SHUBHAM,LRN_ENRICHMENT_ERMS_VOICE_ICB,DIFF_Summary,5,0,5,18929,PASS,PASS,3.05,10-03-2023 12:55PM,SHUBHAM_LRN_ENRICHMENT_ERMS_VOICE_ICB_DIFF_Summary_2023_03_10-12_54_59_PM.txt
SHUBHAM,LRN_ENRICHMENT_NKMS_VOICE_ICB,DIFF_Summary,5,0,5,4647,PASS,PASS,0.44,10-03-2023 12:56PM,SHUBHAM_LRN_ENRICHMENT_NKMS_VOICE_ICB_DIFF_Summary_2023_03_10-12_56_35_PM.txt
SHUBHAM,LRN_ENRICHMENT_NKMS_VOICE_ICB,ZIP_Detailed,5,0,5,4647,PASS,n/a,0.02,10-03-2023 12:57PM,SHUBHAM_LRN_ENRICHMENT_NKMS_VOICE_ICB_ZIP_Detailed_2023_03_10-12_57_27_PM.txt
SHUBHAM,LRN_ENRICHMENT_NKMS_SMS_ICB,ZIP_Detailed,5,0,5,5752,PASS,n/a,0.02,10-03-2023 01:00PM,SHUBHAM_LRN_ENRICHMENT_NKMS_SMS_ICB_ZIP_Detailed_2023_03_10-01_00_15_PM.txt
SHUBHAM,LRN_ENRICHMENT_NKMS_SMS_ICB,DIFF_Summary,5,0,5,5752,PASS,FAIL,0.5,10-03-2023 01:00PM,SHUBHAM_LRN_ENRICHMENT_NKMS_SMS_ICB_DIFF_Summary_2023_03_10-01_00_51_PM.txt
SHUBHAM,LRN_ENRICHMENT_ERMS_SMS_ICB,DIFF_Summary,5,0,5,2394,PASS,FAIL,0.24,10-03-2023 01:02PM,SHUBHAM_LRN_ENRICHMENT_ERMS_SMS_ICB_DIFF_Summary_2023_03_10-01_02_06_PM.txt
SHUBHAM,LRN_ENRICHMENT_ERMS_SMS_ICB,ZIP_Detailed,5,0,5,2394,PASS,n/a,0.02,10-03-2023 01:02PM,SHUBHAM_LRN_ENRICHMENT_ERMS_SMS_ICB_ZIP_Detailed_2023_03_10-01_02_41_PM.txt
SHUBHAM,LRN_ENRICHMENT_ERMS_SMS_ICB,DIFF_Summary,14413,0,14413,8791356,PASS,FAIL,760.05,10-03-2023 01:47PM,SHUBHAM_LRN_ENRICHMENT_ERMS_SMS_ICB_DIFF_Summary_2023_03_10-01_34_58_PM.txt
SHUBHAM,LRN_ENRICHMENT_NKMS_SMS_ICB,DIFF_Summary,13102,0,13102,17984816,PASS,FAIL,1492.59,10-03-2023 01:56PM,SHUBHAM_LRN_ENRICHMENT_NKMS_SMS_ICB_DIFF_Summary_2023_03_10-01_31_55_PM.txt
SHUBHAM,LRN_ENRICHMENT_NKMS_VOICE_ICB,DIFF_Summary,16596,0,16596,87924108,PASS,FAIL,8771.15,10-03-2023 03:55PM,SHUBHAM_LRN_ENRICHMENT_NKMS_VOICE_ICB_DIFF_Summary_2023_03_10-01_29_21_PM.txt
SHUBHAM,LRN_ENRICHMENT_ERMS_VOICE_ICB,DIFF_Summary,22794,0,22794,116269070,PASS,FAIL,25194.75,10-03-2023 08:24PM,SHUBHAM_LRN_ENRICHMENT_ERMS_VOICE_ICB_DIFF_Summary_2023_03_10-01_24_34_PM.txt
SHUBHAM,LRN_ENRICHMENT_ERMS_VOICE_ICB,DIFF_Summary,6,0,6,52222,PASS,FAIL,24.12,11-03-2023 10:25AM,SHUBHAM_LRN_ENRICHMENT_ERMS_VOICE_ICB_DIFF_Summary_2023_03_11-10_25_22_AM.txt
SHUBHAM,LRN_ENRICHMENT_ERMS_VOICE_ICB,ZIP_Detailed,6,0,6,52222,PASS,n/a,0.04,11-03-2023 10:26AM,SHUBHAM_LRN_ENRICHMENT_ERMS_VOICE_ICB_ZIP_Detailed_2023_03_11-10_26_25_AM.txt
SHUBHAM,LRN_ENRICHMENT_NKMS_VOICE_ICB,ZIP_Detailed,6,0,6,11768,PASS,n/a,0.03,11-03-2023 10:27AM,SHUBHAM_LRN_ENRICHMENT_NKMS_VOICE_ICB_ZIP_Detailed_2023_03_11-10_27_15_AM.txt
SHUBHAM,LRN_ENRICHMENT_NKMS_VOICE_ICB,DIFF_Summary,6,0,6,11768,PASS,FAIL,1.2,11-03-2023 10:27AM,SHUBHAM_LRN_ENRICHMENT_NKMS_VOICE_ICB_DIFF_Summary_2023_03_11-10_27_50_AM.txt
RAJU,NOKIA_MSC_PRI_DOX,ZIP_Detailed,23,0,23,26,PASS,n/a,0.02,14-03-2023 01:01PM,RAJU_NOKIA_MSC_PRI_DOX_ZIP_Detailed_2023_03_14-01_01_57_PM.txt
RAJU,NOKIA_MSC_PRI_DOX,DIFF_Summary,23,0,23,26,PASS,PASS,0.03,14-03-2023 01:02PM,RAJU_NOKIA_MSC_PRI_DOX_DIFF_Summary_2023_03_14-01_02_49_PM.txt
RAJU,NOKIA_MSC_FMS_PRI,DIFF_Summary,25,0,25,28,PASS,PASS,0.03,14-03-2023 01:03PM,RAJU_NOKIA_MSC_FMS_PRI_DIFF_Summary_2023_03_14-01_03_34_PM.txt
RAJU,NOKIA_MSC_FMS_PRI,ZIP_Detailed,25,0,25,28,PASS,n/a,0.02,14-03-2023 01:03PM,RAJU_NOKIA_MSC_FMS_PRI_ZIP_Detailed_2023_03_14-01_03_59_PM.txt
RAJU,NOKIA_MSC_CMP_SMS,ZIP_Detailed,5,0,5,6,PASS,n/a,0.02,14-03-2023 01:04PM,RAJU_NOKIA_MSC_CMP_SMS_ZIP_Detailed_2023_03_14-01_04_48_PM.txt
RAJU,NOKIA_MSC_CMP_SMS,DIFF_Summary,5,0,5,6,PASS,PASS,0.02,14-03-2023 01:05PM,RAJU_NOKIA_MSC_CMP_SMS_DIFF_Summary_2023_03_14-01_05_08_PM.txt
RAJU,NOKIA_MSC_CMP_VOICE,DIFF_Summary,6,0,6,6,PASS,PASS,0.02,14-03-2023 01:05PM,RAJU_NOKIA_MSC_CMP_VOICE_DIFF_Summary_2023_03_14-01_05_39_PM.txt
RAJU,NOKIA_MSC_CMP_VOICE,ZIP_Detailed,6,0,6,6,PASS,n/a,0.02,14-03-2023 01:06PM,RAJU_NOKIA_MSC_CMP_VOICE_ZIP_Detailed_2023_03_14-01_06_04_PM.txt
RAJU,NOKIA_MSC_HDBI,ZIP_Detailed,10,0,10,64702,PASS,n/a,0.11,14-03-2023 01:07PM,RAJU_NOKIA_MSC_HDBI_ZIP_Detailed_2023_03_14-01_07_01_PM.txt
